transcript,word_count,error_density,speaking_rate,vocab_diversity,avg_word_length,hesitation_index,label,filename
" If I think of a flight, I would be thinking of a lot of houses underwater. Maybe a lot of people trying to swim to cross the different streets, dogs, trying to follow their owners. Also, imagine a lot of cars underwater, people on their, trying to ask for help on their roofs. And a lot of fish swimming on the streets. I also picture different, different, different government agencies trying to help.",73,0.0,97.33333333333333,0.6164383561643836,4.52054794520548,0.1095890410958904,3.0,audio_133
" For me to describe my best day of my life is going to meet my family, my friends, my children. Because I have two mothers and two fathers, so we will be celebrating our best days at the picnic. So all of my family will be there, help together, we will celebrate our best day of my life together. So we will also bring cakes, ice cream, and we will also bring some friends and family that we have not met for so long. So we can get together and talk about the things that we'd never talk about.",99,0.010101010101010102,135.0,0.5959595959595959,3.98989898989899,0.0707070707070707,3.0,audio_223
" Crowded market is a clitoris cop of sights, sounds and smells. The air is thick with the aroma of exotic species, fresh produce, tubes and street food. People of all ages and backgrounds through the narrow alleys their faces are blur as they hurry to reach their destination. Colorful stalls overflow with an air of goods, pyramids of juice fruits, baskets of fragrance, flowers and trees of golden pest.",69,0.014492753623188406,68.88519134775376,0.782608695652174,4.869565217391305,0.08695652173913043,2.5,audio_287
" I would like to visit South Korea because I really love the place to visit once in my life and I would like to travel to Edo-Pang because that would be my first experience. I would like to taste the local dishes in South Korea like kimchi, jjampong, sushi and any other dishes which I would like to taste the spicy dishes. And I would like to visit the country in autumn season because the flowers or the tree blossoms, cherry blossoms.",82,0.012195121951219513,81.89081225033289,0.524390243902439,4.329268292682927,0.036585365853658534,2.5,audio_332
" Okay, my favourite hobby is playing football. And I enjoy football so much due to the adrenaline rush he gives, the passion, the flair, and all. It's just a combination of several good feelings. And yeah, I use my boots to play, my football boots, my jersey, and then I don't forget my shingard. And sometimes I put on gloves just for fancy. And yeah, I enjoy playing football a whole lot. Umm, I must try a car, so I play from the advanced football position. I really love playing football.",91,0.04395604395604396,93.75,0.6483516483516484,4.406593406593407,0.12087912087912088,3.0,audio_158
" So one of the best days of my life was the day I gave birth. It was a very intense, difficult experience but a most rewarding day. One of the specials was the fact that I could see her and she looked so pretty. And whenever I feel about this day, I feel like I haven't had any other day like this. The feeling of, you know, it was overwhelming and it was a blessing.",75,0.013333333333333334,179.71246006389777,0.6666666666666666,3.8933333333333335,0.05333333333333334,4.0,audio_91
" The smart phone application that I use to most is TikTok. Because TikTok is helping me to gain followers and also entertainment. In TikTok also I can buy things that I need for everyday use. And TikTok is my favorite application because I can't find anything there. It's like a Google. But if you're looking for an answer for all your questions, you can see it with videos. And most of the TikTokers there, they are providing the good answer for most of the questions that I'm looking for.",89,0.02247191011235955,118.66666666666667,0.6966292134831461,4.50561797752809,0.02247191011235955,3.0,audio_358
" The playground that I'm thinking about is a lovely, lovely place. All around the place you can see different activities in which the kids can participate. You can see some slides, you can see kids playing on the jumping rope, there are many, many trees around that kids can climb on. From what I've noticed, kids absolutely love climbing the trees. It looks like it can be the most popular thing to do in there. You can hear kids laughing, you can hear the parents trying to catch the kids and ask them to go home. Unfortunately the kids are not very happy to go home. You can hear the laughter and the vibe is just amazing in this place.",120,0.0,119.99999999999997,0.6083333333333333,4.325,0.05,4.5,audio_79
" My favorite holiday destination is Bali, Indonesia. The island offers a perfect mix of beautiful beaches, lush landscapes and rich culture. I love the seren temples, especially Olawa and Thanalot, which offers stunning sunset views. The local food is also amazing with its fresh ingredients and vibrant flavors. Bali's hospitality is something that really stands out with the locals being warm and welcoming. I enjoy the balance between adventure and relaxation there, whether it's exploring waterfalls or simply unwinding by the beach. And it's a place I always look forward. And also I have recently went on a trip to Kerala and it was quite an amazing experience. I have visited beautiful...",112,0.03571428571428571,149.33333333333334,0.7678571428571429,5.205357142857143,0.05357142857142857,3.0,audio_10
" Yeah, umm, there was a scene in the crowded market. There was people buying stuff. Some people buying fish, some people buying meat, and some people buying chicken. Some of them are buying just groceries like sugar, salt, pepper. Some of them are buying a huge amount of money that they have when they go to crowded market. And in a crowded market, you will see there's a lot of people and it's there's no...",75,0.02666666666666667,100.0,0.5866666666666667,4.453333333333333,0.10666666666666667,2.0,audio_78
" The atmosphere in an April is one of the most sentimental environments in the life of people. Because in an April we can observe all the feelings of human beings. Also, from the joy of fulfilling our dreams and goals, the personal goals, lower memories, experience, to the sadness of knowing that a friend or family member is living in their city or country for a long time. What is certain in this kind of situation is that an April is entranced to new experience learning, also to new cultures and new language experiences in our life.",97,0.0,141.9512195121951,0.6494845360824743,4.546391752577319,0.061855670103092786,2.0,audio_313
 My favorite hobby is reading books and I enjoy very much while reading books and I explore new things and I learn new things and my favorite hobby is reading. I love getting lost in a good book and escaping into different worlds and characters. Reading helps me to relax and unwind after a long day and it also helps me to know about new things and expand the horizon of my knowledge.,73,0.0136986301369863,83.58778625954197,0.6301369863013698,4.273972602739726,0.0,3.0,audio_239
" We went to a resort last summer with my family and we did a lot of fun things. Just like go to play in the beach, swim a little bit. Also we went to some beautiful places where we noticed a lot of animals like whales, a lot of fishes. Also we were able to go to swim with some dolphins. That was a great experience. We also went to a restaurant where they serve delicious food, fishes, some sushi and a lot of delicious desserts.",86,0.03488372093023256,117.27272727272728,0.5813953488372093,4.0,0.046511627906976744,3.0,audio_31
" In a busing busing market, vendors hog their voids, fresh fruits and vegetables pilot high, spices waving their fragrances and colorful fabrics hanging in the air. People joust bargain over prices while other waves through the thorns clustering baskets and bags. Sounds of hagging mix with the shouts of vendors, the clang of pots and pans and sizing of the street food cooking on grills. Music from the street performers adds the beauty, creating a lively atmosphere. As the day progresses, the market evolves. Morning brings a frenzy of activities as vendors set up their",95,0.031578947368421054,95.0,0.7368421052631579,5.042105263157895,0.06315789473684211,3.5,audio_74
" Okay, I am in the airport. I am doing the line and my sister is with me. We are waiting for our mother that is in the water right now. She came and we move ahead in our registration. Everything is fine. We took the plane and we are in the plane and we have been desiring this trip. Since several years ago and everything is fine. We are in the plane watching a movie and suddenly the captain said that we are arriving too.",85,0.023529411764705882,118.6046511627907,0.5882352941176471,3.976470588235294,0.011764705882352941,2.5,audio_204
" 24 of 2023 and all of the people are busy in the preparation for the Christmas Eve. For coming Christmas Eve. And all of them was in the market or were out or they are all at the market. And since it was a, it was a almost a rush hour, all of them was crowded. All of them were busy buying fruits and some foods that they were gonna cook for the Christmas Eve.",75,0.06666666666666667,118.42105263157896,0.52,3.8133333333333335,0.02666666666666667,3.0,audio_57
" Umm, my favourite sports and cricket, we have a lot of famous to cricket and sports will be too great. The many people we have the centuries and cricket to be well played and energetic and fully energy and healthy. So many, so many programs we have the connect all about the cricket and watching to this work and so many because to show people for the anxiety to teams to provide it to energy and good scouts everybody to take it to all favourite sport. Thank you.",88,0.03409090909090909,124.88174077578051,0.5795454545454546,4.284090909090909,0.03409090909090909,2.0,audio_369
" Let's see, I'm at Eastern Market. Umm, the place is crowded. They're selling everything from clothing to jewelry to shoes. Umm, there's street vendors here and they're selling hot dogs, hamburgers, sliders, fish sandwiches, Mexican food, and Chinese food. It's pretty loud here so I have to like talk over the mic. And umm, in the morning it's a pretty lax crowd, mostly old people looking for some great deals and then as it transitions into the evening you get more of the urban crowd. Umm, single moms, kids, teenagers, and then by night you get the rowdy a bunch of people coming home from the bar. Umm, who just want to eat some of this delicious street food. I don't know, I would say that the Eastern Market is a very good market and you should come here when you get the chance.",144,0.020833333333333332,148.35164835164835,0.6805555555555556,4.465277777777778,0.1111111111111111,5.0,audio_194
 वें आईवास गो तिली एर्पोट देरा सो मेंने पलेंस और और मेंने लिए बीजी पलेस विद मेंने पीपल रहा हैं देपार्टिं.,21,0.047619047619047616,78.75,0.8571428571428571,4.0,0.0,2.0,audio_282
" I recently stayed at a luxurious resort, National at a Pristine beach phone. The restaurant feature stunning ocean views from my suspicious room which was elegantly furnished and equipped all modern elementaries. Each morning began with a coordinate breakfast buffered offering a variety of local and international cuisines. Days were filled with activities such as snorkeling, paragliding and louding by the infinity pool the resort staff provided and oasis of relaxation with its range of treatments including facial massages, perfect for unwinding after a day in the sun. Evening were equally delightful with fine dining options.",96,0.020833333333333332,128.91674127126228,0.8229166666666666,5.59375,0.03125,3.5,audio_105
" I love to reading on my hobbies as reading. Emma discovered her love for reading at an engage. When the pages of a one or two year old book transported her to a world of magic and adventure. Now with the bustling career and fast pace in life, reading has become her sanctuary her way of unwinding after a long day. This reading was very inspiring to me so that I started reading by inspiring her and her collection has grown significantly over the years filling her bookshelves with the rich tapery of gems ranging from mystery and science fiction to historical fiction and contemporary literature. On weekends, I used to reading sessions extended to late-day afternoons in a year by park are quite safe where the bagel home of nature or the soft murmurs of people adds a comforting soundtrack to her literacy adventures. So reading is not only a not only exposed to the dead",157,0.01910828025477707,156.686626746507,0.6496815286624203,4.579617834394904,0.012738853503184714,3.0,audio_138_2
" I enjoy the most about my hobbies listening to music. When I feel free, when I am sad or unhappy, I will prefer to listen to music. The tools that I can use, the tools that we need to use, we do is the laptop, mobile phone and television by using different apps. I can listen to music. I prefer to listen with my friends, with my family members. It is a great feeling when we listen to music. When we listen to music, it feels good.",87,0.0,86.88415446071903,0.5517241379310345,3.9770114942528734,0.08045977011494253,3.0,audio_212
" I used to play cricket and football in my playground of the school and I enjoyed a lot in my playground. Sometimes when I was born, so I wanted to go in my playground and there I played lots of cricket and I enjoyed a lot. And my playground was very huge and green and the playground was beautiful and it so looked nice. And the playground was very huge and like when I was playing the playground of football that was a very amazing day. For of...",88,0.011363636363636364,112.34042553191489,0.4772727272727273,4.090909090909091,0.022727272727272728,2.0,audio_230
" Ok, I would hope you are watching too, whenever I have free time. I love watching television. It never obstructs my studies. It always helps us to expand our knowledge. And this is a several things. First, I have to finish all my school homework and then start watching too. This lightens my mood and sparks up excitement inside me. As it increases my curiosity about the world. Often different use of stuff from TV enhancements, or origins and it gives me lots of strength. Because I could have it because awesome TV has got a lot of knowledge in various fields. There are several channels on TV which represent world-wide affairs. I have also news and I like channels such as the Animal Planet Discovery channel or another Informator channel. These channels make me rest and encourage me to learn about different aspects of life.",146,0.0273972602739726,153.6842105263158,0.6986301369863014,4.698630136986301,0.0273972602739726,2.5,audio_16
" The smartphone application that I use the most is Facebook. And we all know that Facebook is a social media app that really captured your attention. Maybe it had a user friendly interface with a vibrant feed where you could easily scroll through posts from friends and family. You probably enjoyed sharing updates, photos, and memories while connecting with others through comments and likes. That might have features like groups of your interests, events to keep track of, and perhaps even a marketplace for local buying and...",87,0.011494252873563218,116.0,0.8160919540229885,5.080459770114943,0.05747126436781609,3.5,audio_249
" People in the market are selling fish in the morning and a lot of meat because people go there to buy food for their restaurants. Before they start to cook they go there to collect the products they need. You can hear a lot of people shouting, they want a bargain, so they speak enthusiastically to get them to the marketers to put their prices down. And you can see that in the morning there are a lot of people there and there's a change of scenery throughout the day where there's gradually less people in the market. You can sense a lot of...",104,0.019230769230769232,104.0,0.5480769230769231,4.259615384615385,0.028846153846153848,3.0,audio_1
" Umm, a school playground is wide and huge. Umm, it has, the ground has sand on it. There are slides, sea sauce and swings around it. Many children play on the playground. Umm, they were laughing so hard and they were talking with their playmates and their parents on a different day. Umm, other than children, there are also adults who are in there as well as their teachers who give them security and instructions on what to do and to ensure that they are secured and safe while having fun playing with their friends. And of course, they enjoy playing around with their friends too.",106,0.0,105.92938041305794,0.660377358490566,4.509433962264151,0.07547169811320754,4.0,audio_303
" The best day of my life was when I enter a lottery game and I won. I wasn't expecting to win, but I won anyway. I was able to win a lot of money, not too much money, but at least money that I was able to buy to keep some few things that I needed at that time. So I was so happy I was overjoyed. Now when I think about that day, I'll smile and be thinking, oh, that was a good day. It makes me so happy.",90,0.0,109.13500404203717,0.6444444444444445,3.477777777777778,0.06666666666666667,3.0,audio_317
" It's smoothing effect. Besides this, I also have hobbies such as reading comic books, painting, writing narrative stories and maintaining a scrapbook. These activities make me happy and enhance my hidden qualities. Writing and reading boosts my imagination. Along with these activities, I participate in gardening in my leisure time because I love to, I love to plant new and colourful flowers. Moreover, I like dancing and singing. These are the activities I often do whenever I find time. After completing my studies and homework, I do participate in singing and dancing competitions as well because I like to sing and dance. My teachers and parents always appreciate and encourage me to pursue my hobbies. Every human being on the earth is unique, not only in terms of appearance.",129,0.007751937984496124,128.82822902796272,0.6821705426356589,5.077519379844961,0.06201550387596899,3.0,audio_111
" School. First of all my school name is New Little Skull School. It's located at Kishmath Pool and uhh, he, the scene happened at school, that school playground. What one child was fell down from second floor to the ground. That is the biggest scene which I saw at my playground, as well as school playground. I have taken that boy to principal that he have leading with a blade.",70,0.02857142857142857,95.28130671506352,0.7428571428571429,4.414285714285715,0.05714285714285714,3.0,audio_267
" I was in a crowded market. There is vendors everywhere. They are selling fruits, vegetables, they sell dry goods. I'm actually not decided where will I buy. So there is a lot of vendors, there is a lot of people in the crowded market since it's crowded. There is a lot of goods where you can choose to buy. So there is fish, there is meat, there is vegetable. There is a lot in here like dry goods where there is a variety of choices where you can choose to go.",91,0.03296703296703297,121.33333333333333,0.5274725274725275,4.076923076923077,0.054945054945054944,2.0,audio_85
" I consider the best day of my life to be when I went on a trip to a tropical paradise. A morning started early with birds shivering and waves crashing against the shore and the sun shining through the window. I spent the day lounging on the beach, relaxing under the sun and swimming in a crystal clear water. In the evening, I watched the sunset from a rooftop bar while sipping on a fresh refreshing cold drink. It was a completely carefree day, filled with relaxation and enjoyment. And I would like to visit there once again. Another best day of my life when I visited a new state. There it was filled with excitement. I explored the streets, tried new foods, immersed myself in the new culture. So all the traveling days were being the best day of my life. Thank you.",144,0.006944444444444444,153.5181236673774,0.6180555555555556,4.368055555555555,0.034722222222222224,3.0,audio_221
 It is another busy Monday at Seoul Station. They are office workers with briefcase running late for work and students with backpacks running to catch the train. There are also homeless people lying on the bench while on the platform while waiting for the train to pass. There are also people selling food and drinks on the platform and there are also a few vending machines that people can use to buy something they need.,75,0.0,107.6555023923445,0.6666666666666666,4.626666666666667,0.0,3.0,audio_232_2
" I would describe my favorite holiday destination is somewhere in Singapore. So I saw the beautiful destination there like Marina Bay Sands, Gardens by the Bay, the Sentosa, and then also the Universalist Tour. So I would appreciate the surroundings there or the backround there. So I would appreciate those things and then also the areas. So I would, I am happy when I, if ever I would come back to the Singapore, I would be. Thank you.",78,0.05128205128205128,104.0,0.6538461538461539,4.602564102564102,0.07692307692307693,2.0,audio_372
" There's a crowded market. There's a variety of various dick-nacks and electronics, magazines and books, things like that, almost like a flea market on the perimeter. That's those are the sort of items you see alongside various snacks. There's lots of people chattering and you hear some bargaining around you. And as you get closer to the interior, you see the core of the market. It's mostly food. Regular people could shop there, but it's a lot of restaurant things like whole fish, large sides of beef, things like that. There's a great amount, a variety of vegetables, everything sold, mostly intended to be sold in large quantities. It's the reason for the market.",114,0.008771929824561403,115.85365853658537,0.631578947368421,4.87719298245614,0.08771929824561403,5.0,audio_56
" The hobby that I enjoy the most is painting. Painting brings such a calm and relaxing experience for me and it helps me advance my creativity. The tools that I need for painting are the canvas, the colors, the paint brushes, the color mixing tools and I love enjoying painting on my own but I also love it with my children because it brings out the creativity and also helps me realize what kind of things.",76,0.02631578947368421,76.0,0.631578947368421,4.355263157894737,0.039473684210526314,3.5,audio_269
" My stay at a reserve was really nice. It was really good. It was an all-included resort. The food was really amazing, really tasty. The services included customer service at the room, all included food, including breakfast, lunch and dinner. And I could use the pool. So it was a really amazing experience. Also, the customer service was really fast and they were really kind to me. They were really friendly. And I did have a really amazing time there.",80,0.025,124.03100775193798,0.6,4.675,0.0625,3.0,audio_337
 I remember once upon a time when I went to Goa for a trip. Then there it was a good holiday destination. And I saw some of the children was playing on the beach beside the beach and some ladies and gents also taking the chill up on the beach. And they are feeling fantastic and I saw very well and I enjoyed a lot at that time and that was a good experience in my life. And I haven't got forgo at this moment and this was the good time.,91,0.03296703296703297,121.33333333333333,0.6153846153846154,3.802197802197802,0.0,2.5,audio_359
" The scene of the airport I've been at two weeks ago was like a, a, a restaurant and some, that place are so many, many, uh, companies or stores from the culture, uh, topics or some, uh, global companies like McDonald's or KFC or something like that. There are two, uh, runway for the suitcases in case there are two heavy and, uh, there are many security, uh, persons and cops in a way for control and any situation that could be in the airport.",85,0.0,113.33333333333333,0.6352941176470588,4.247058823529412,0.18823529411764706,3.0,audio_43
" I love going to the beach, the beach in Costa Rica. It's one of my favorite places to travel to. Although it is not a white sand beach, the water is fairly calm and it is always warm. There are also food stations scattered around the beach which makes it easy to spend all day there. The people are friendly and there's always something to do. It is also very safe. If you want to, you can explore the beach and see all different types of wildlife including birds and occasionally crocodile. There are also smaller beaches that are cove like beaches. You have to hike through the woods to get to them but it's like a little secret journey. Realistically, I would try to go to different beaches every day while I'm in Costa Rica because they all have a different experience. Some beaches allow and crowd other secluded and quiet.",152,0.006578947368421052,182.83881315156376,0.6513157894736842,4.453947368421052,0.02631578947368421,5.0,audio_333
" Hello, good day everyone. My topic for today is in regards to school playground. School playground is a very nice and very happy place for me. And because it gives me a lot of memories and forgettable memories with my best friends. So what we do back in the day when I was a kid is we play hide and seek. We play PlayStation in the playground. Sometimes we do playing a shooting game. Sometimes we play a ball game, volleyball. Sometimes we do play different, different, different and different.",90,0.022222222222222223,122.72727272727273,0.6333333333333333,4.511111111111111,0.044444444444444446,2.5,audio_71
" It is the big market of the city. So everyone come to here for shopping for every weekend on time, weekend and all the time. So this is the most, most crowded place in the weekend and all the times because everything wholesale and detailed pricing and low pricing and every time there is a scheme and some bonus is there. So everybody like and shop here and come to the every time and enjoy the shopping and all that here. So it's a very crowded place. Market.",88,0.022727272727272728,118.27956989247312,0.5795454545454546,4.238636363636363,0.022727272727272728,2.5,audio_40
" Umm, once I went to the hotel and it was a resort in the beach. I went with my family and well, my two daughters and my son told me they wanted to go to the restaurant in the resort and we went to eat great food. It was the most delicious food that we have eaten during our travels and it was a great experience. We had a lot of fun.",72,0.041666666666666664,96.42857142857144,0.625,3.638888888888889,0.027777777777777776,3.0,audio_83
 Certainly airport airport speak typically first to the unique language. Let us describe the what what what could be the scene on the airport. When I was walking to just checking my tickets and the just to board my flight I saw that a man was sitting beside a lady was reading the newspaper and flight attendants and agents communicate with coincide quotes and phrases and showing efficient operations.,69,0.028985507246376812,92.16384683882457,0.6956521739130435,4.826086956521739,0.0,2.5,audio_26
" My favourite hobby is cooking food. Cooking food is my passion. I love to cook such different kind of foods which I love to eat the food and cook the food, feed the food to different kind of people. I like to cook different kinds of varieties of food which were very unique. Sometimes it may fail and sometimes I would cook very good. Many of the people appreciate me for my food and they love, most of the people love my food which I cook and that was my most favourite hobby. There are many tools that in my hobby were, I just enjoy my hobby. I would just enjoy making food. Making food is my hobby and I just love making different kind of food and feed to them. Mostly I like to cook.",136,0.029411764705882353,136.0,0.4264705882352941,4.0588235294117645,0.022058823529411766,3.0,audio_195
" Recently I visited Tirumala. Such a wonderful place. Me and along my friends. I plan to move on Tirumala on train. It's a wonderful, fascinating journey. Lot of memories I have been grabbing in that journey and bonding also. Tirumala is a sambar and dosha. It's a favourite dish. Awesome food. It's a good...",54,0.09259259259259259,55.86206896551724,0.7777777777777778,4.722222222222222,0.037037037037037035,2.5,audio_156
" Well, I went to New York and uhh, I was going to in the evening. There was my favorite band or one of my three favorite bands was playing in Brooklyn so I was going to that. And in the morning I got an ad on Facebook advertising the Book of Mormon, the musical, which I, I really wanted to see but I, I don't know, I had like totally forgotten about it by the time I actually was in New York since it came out a few years before. And yeah, I ended up getting a ticket so went around New York, ate a bunch of great food like New York pizza, bagel. And uhh, yeah, I went to see the Book of Mormon, then I walked around some more, looked at the UN, went to see my favorite band, took the ferry back to Staten Island while eating like a bacon eater out on the ferry looking at Manhattan at night and the statue of David D. Yeah, it was great.",173,0.011560693641618497,179.398548219841,0.5606936416184971,3.8497109826589595,0.09826589595375723,5.0,audio_166
" Instagram is a free online photo and video sharing application and social network, social networking application. Instagram also, uhh, Instagram allows to users to edit and upload photos, short videos and users can add captions. I love to use Instagram because it is a very entertaining app. There is a very good and bad also benefit of Instagram but there is very good learning, very new things also I learnt from that. And Instagram is not only a tool for individual but also for a business.",86,0.011627906976744186,114.56483126110123,0.627906976744186,4.744186046511628,0.05813953488372093,3.0,audio_361
" We are here to, we are here to order a beautiful scenery and beautiful yard in the resort. And it's a really nice place here and it has the largest pool and good food. And I like the architecture of this resort and I like the food is really good and the people were so kind and good. The service is really excellent and the management is like totally good to the people. It's really wonderful place. We can visit and we actually with my family, I hear with my family it's really good place, cool thing. It's a nice place.",101,0.039603960396039604,134.66666666666666,0.5445544554455446,4.1683168316831685,0.0297029702970297,2.0,audio_23
" Well, the scene of an airport depends a lot of the country. Most of the times it's a very organized environment with a lot of security. Also sometimes can be a little bit chaotic because of the people that arrive, that arrive there like all day, every single day of the year. And there's also a lot of fast food. When you can go and grab a drink, grab something to eat and have a good time while you wait for your plane to arrive. And also you have the duty free where you can get a lot of good brands and renamed brands for a tip price. Thank you for watching.",112,0.026785714285714284,156.27906976744185,0.6160714285714286,4.017857142857143,0.03571428571428571,3.0,audio_234
" A school playground is designed to provide an environment for children that facilitates play or typically outdoors. Some are designed for other age groups or also people with disabilities. But basically a scene of a school playground consists of children and playing together with their friends, just having fun. Some are also eating their lunch in the school playground after playing and also together with their families. They're just really having some fun while they have their time.",78,0.0,104.09252669039147,0.6666666666666666,5.256410256410256,0.01282051282051282,3.5,audio_47
" The scene of the airport I've been at 2 weeks ago was like a, a, a restaurant and some, that place are so many, many, uh, companies or stores from the culture, uh, topics or some, uh, global companies like McDonald's or KFC or something like that. There are two, uh, runway for the suitcases in case there are two heavy and, uh, there are many security, uh, persons and cops in, in way for control and any situation that could be in the airport.",85,0.0,113.33333333333333,0.6588235294117647,4.247058823529412,0.2,3.0,audio_43_2
" My goal in life is to save the planet. There is a serious need that we human beings we need to save our Earth because we are facing a serious crisis of climate change. There is flood and everything so. My goal is to educate my community on how we can recycle, on how we can change what we do things and on how we can make our planet a place for our future children. They have to enjoy what we have enjoyed. They have to see what we have seen. Animals are being scattered. Everything they see is dirty. So we have to change the way we do things. We have to do things to better our future.",119,0.0,132.22222222222223,0.5126050420168067,3.9411764705882355,0.008403361344537815,4.5,audio_354
" The topic is describe your stay at a resort. So when I, when I have reached the resort with my family, it was during the summer. So it's very hot and sweaty. But after reaching the resort, the weather is so pleasant because of its beautiful ambience around and the food they serve is truly loveable and they have different kinds of cuisines and the service they made is also very good. And they also have the private clubs which we can enjoy ourselves and it is nearby the beach. So we spend more time in the beach with my family.",101,0.039603960396039604,137.72727272727275,0.6633663366336634,4.257425742574258,0.0297029702970297,2.0,audio_77
" I can see planes that are ready to take off, many people, families, children, security wards, also people who are buying or handing out tickets, and all men who is reading the newspaper while his granddaughter is playing. And I can see people saying goodbye to their family, doing calls, watching the April streams, people crying and others keeping to get on the plane. And also I can see my family who is waiting for the next flight, and also I can see people who are very angry because they had a problem, and in the airport, maybe because with their package, I don't know. And also I can see that a boy who is sitting in...",117,0.02564102564102564,158.53658536585365,0.6239316239316239,4.358974358974359,0.11965811965811966,2.5,audio_343
" Uhh, well, if we talk about a school program, it's really common to see kids running for everywhere. Well, I played, I used to play the ANDA. It's a play that you touch another person and the other person come to follow us to touch other. Also, you can see the kids playing football. Well, it's rarely to see playing basketball, but there's people who likes to play basketball, so, I don't know. Obviously, a lot of kids for everywhere.",80,0.025,110.04126547455296,0.65,4.4625,0.1375,3.0,audio_58
